legid,fullname,twitter
PAL000216,"Steven J Santarsiero",RepSantarsiero
PAL000218,"Stan Saylor",RepStanSaylor
PAL000219,"Mario M Scavello",
PAL000224,"Matthew Smith",SenMattSmith
PAL000225,"Samuel H Smith",
PAL000227,"Timothy J Solobay",
PAL000228,"Curtis G Sonney",
PAL000230,"Jerry Stern",
PAL000231,"Richard R Stevenson",
PAL000232,"P. Michael Sturla",RepMikeSturla
PAL000233,"RoseMarie Swanger",
PAL000234,"Will Tallman",
PAL000235,"John Taylor",RepTaylor
PAL000237,"W. Curtis Thomas",RepThomas
PAL000238,"Marcy Toepel",
PAL000240,"Mike Turzai",RepTurzai
PAL000241,"Mike Vereb",RepVereb
PAL000242,"Greg Vitali",GregVitali
PAL000243,"Randy Vulakovich",SenVulakovich
PAL000246,"Ronald G Waters",
PAL000247,"Katharine M Watson",
PAL000248,"Jake Wheatley",RepWheatley
PAL000249,"Jesse White",JesseWhite
PAL000251,"Rosita C Youngblood",RCY198
PAL000252,"John T Yudichak",SenJohnYudichak
PAL000254,"LeAnna M Washington",Sen_Washington
PAL000256,"Neal P Goodman",RepNealGoodman
PAL000264,"Margo L Davidson",RepDavidson
PAL000265,"John P Blake",
PAL000266,"James R Brewster",SenatorBrewster
PAL000270,"Ryan P Aument",RepAument
PAL000271,"Stephen Bloom",RepBloom
PAL000272,"Kevin J Boyle",
PAL000273,"Rosemary M Brown",
PAL000274,"Michelle F Brownlee",RepBrownlee
PAL000275,"Lynda Culver Schlegel",
PAL000276,"Tina M Davis",RepTinaDavis
PAL000277,"Pamela A DeLissio",RepDeLissio
PAL000278,"George Dunbar",RepDunbar
PAL000279,"Joe Emrick",
PAL000280,"Eli Evankovich",RepEvankovich
PAL000281,"Mark M Gillen",
PAL000283,"Joseph T Hackett",
PAL000284,"Doyle Heffley",
PAL000285,"Warren Kampf",WarrenKampf
PAL000286,"Sid Michaels Kavulich",RepSidKavulich
PAL000287,"Fred Keller",
PAL000288,"Timothy Krieger",
PAL000289,"John A Lawrence",
PAL000290,"David M Maloney Sr.",
PAL000292,"Kurt A Masser",
PAL000293,"Gerald J Mullery",RepJerryMullery
PAL000294,"Brandon P Neuman",RepNeuman
PAL000295,"Rick Saccone",
PAL000296,"Justin J. Simmons",RepSimmons
PAL000297,"Todd Stephens",RepToddStephens
PAL000298,"Mike Tobash",
PAL000299,"Tarah Toohil",
PAL000300,"Dan Truitt",
PAL000301,"Schwank, Judith L. ",SenJudySchwank
PAL000303,"Donatucci, Maria P.",RepDonatucci
PAL000344,"Dean, Madeleine ",Madeleine_Dean
PAL000376,"Mackenzie, Ryan E.",
PAL000390,"Neilson, Ed ",
PAL000436,"Vulakovich, Randy ",SenVulakovich
PAL000437,"Hutchinson, Scott ",
PAL000439,"Teplitz, Rob ",RobTeplitz
PAL000440,"Wiley, Sean ",SenatorWiley
PAL000441,"Bizzarro, Ryan A.",RyanBizzarro
PAL000442,"Clay, James ",RepClay
PAL000443,"Corbin, Becky ",
PAL000444,"Daley, Mary Jo ",RepMJDaley
PAL000445,"English, Harold A.",
PAL000446,"Farina, Frank ",RepFarina
PAL000447,"Fee, Mindy ",
PAL000448,"Flynn, Marty ",MartyFlynn2012
PAL000449,"Gainey, Ed ",
PAL000450,"Greiner, Keith J.",
PAL000451,"Haggerty, Kevin ",RepHaggerty
PAL000452,"Harris, Jordan A.",RepHarris
PAL000453,"James, R. Lee ",
PAL000454,"Kim, Patty ",PattyHKim
PAL000455,"Kinsey, Stephen ",RepKinsey
PAL000456,"Lucas, Gregory S.",
PAL000457,"McCarter, Stephen ",RepMcCarter
PAL000458,"McGinnis, John D",
PAL000459,"McNeill, Daniel T.",
PAL000460,"Mentzer, Steven C.",
PAL000461,"Miranda, J.P. ",
PAL000462,"Molchany, Erin C.",ErinMolchany
PAL000463,"Painter, Mark ",RepPainter
PAL000464,"Regan, Mike ",
PAL000465,"Rozzi, Mark ",RepRozzi
PAL000466,"Sankey, Tommy ",TommySankey
PAL000467,"Schlossberg, Michael H.",RepSchlossberg
PAL000468,"Sims, Brian ",RepSims
PAL000469,"Snyder , Pam ",RepSnyder
PAL000007,"Jake Corman",jakecorman
