legid,fullname,pr_url,xpath_pr,rss,xpath_date
PAL000090,Daniel J Deasy,http://www.pahouse.com/pr/xml/427.xml,NULL,TRUE,
PAL000091,Sheryl M Delozier,http://www.repdelozier.com/RSS.aspx?ID=48,NULL,TRUE,
PAL000092,Gordon Denlinger,http://www.repdenlinger.com/RSS.aspx?ID=57,NULL,TRUE,
PAL000093,Frank Dermody,http://www.pahouse.com/pr/xml/37.xml,NULL,TRUE,
PAL000094,Gene DiGirolamo,http://www.genedigirolamo.com/RSS.aspx?ID=16,NULL,TRUE,
PAL000098,Brian L Ellis,http://www.repellis.com/RSS.aspx?ID=11,NULL,TRUE,
PAL000099,Dwight Evans,http://www.pahouse.com/pr/xml/26.xml,NULL,TRUE,
PAL000101,Garth D Everett,http://www.repeverett.com/RSS.aspx?ID=44,NULL,TRUE,
PAL000102,Florindo J Fabrizio,http://www.pahouse.com/pr/xml/304.xml,NULL,TRUE,
PAL000104,Frank A Farry,http://www.repfarry.com/RSS.aspx?ID=74,NULL,TRUE,
PAL000105,Mike Fleck,http://www.repfleck.com/RSS.aspx?ID=42,NULL,TRUE,
PAL000106,Dan Frankel,http://www.pahouse.com/pr/xml/25.xml,NULL,TRUE,
PAL000107,Robert Freeman,http://www.pahouse.com/pr/xml/103.xml,NULL,TRUE,
PAL000109,Matt Gabler,http://www.repgabler.com/RSS.aspx?ID=38,NULL,TRUE,
PAL000110,John T Galloway,http://www.pahouse.com/pr/xml/365.xml,NULL,TRUE,
PAL000114,Marc J Gergely,http://www.pahouse.com/pr/xml/305.xml,NULL,TRUE,
PAL000115,Jaret Gibbons,http://www.pahouse.com/pr/xml/366.xml,NULL,TRUE,
PAL000116,Keith Gillespie,http://www.repgillespie.com/RSS.aspx?ID=26,NULL,TRUE,
PAL000117,Mauree Gingrich,http://www.repgingrich.com/RSS.aspx?ID=59,NULL,TRUE,
PAL000118,Robert W Godshall,http://www.bobgodshall.com/RSS.aspx?ID=27,NULL,TRUE,
PAL000120,Glen R Grell,http://www.repgrell.com/RSS.aspx?ID=47,NULL,TRUE,
PAL000121,Seth M Grove,http://www.repgrove.com/RSS.aspx?ID=100,NULL,TRUE,
PAL000123,Marcia M Hahn,http://www.rephahn.com/RSS.aspx?ID=72,NULL,TRUE,
PAL000124,Gary Haluska,http://www.pahouse.com/pr/xml/45.xml,NULL,TRUE,
PAL000125,Michael K Hanna,http://www.pahouse.com/pr/xml/87.xml,NULL,TRUE,
PAL000126,R. Ted Harhai,http://www.pahouse.com/pr/xml/124.xml,NULL,TRUE,
PAL000127,Julie Harhart,http://www.julieharhart.com/RSS.aspx?ID=97,NULL,TRUE,
PAL000128,Patrick J Harkins,http://www.pahouse.com/pr/xml/367.xml,NULL,TRUE,
PAL000129,Kate Harper,http://www.kateharper.net/RSS.aspx?ID=31,NULL,TRUE,
PAL000130,C. Adam Harris,http://www.repadamharris.com/RSS.aspx?ID=43,NULL,TRUE,
PAL000131,Susan C Helm,http://www.suehelm.net/RSS.aspx?ID=61,NULL,TRUE,
PAL000132,Tim Hennessey,http://www.rephennessey.com/RSS.aspx?ID=17,NULL,TRUE,
PAL000133,Dick L Hess,http://www.dickhess.com/RSS.aspx?ID=39,NULL,TRUE,
PAL000134,David S Hickernell,http://www.rephickernell.com/RSS.aspx?ID=109,NULL,TRUE,
PAL000137,Scott E Hutchinson,http://www.rephutchinson.com/latestnews.aspx,//p/a,FALSE,
PAL000140,Rob W Kauffman,http://www.repkauffman.com/RSS.aspx?ID=49,NULL,TRUE,
PAL000141,Mark K Keller,http://www.repkeller.com/RSS.aspx?ID=46,NULL,TRUE,
PAL000142,William F Keller,http://www.pahouse.com/pr/xml/138.xml,NULL,TRUE,
PAL000144,Thomas H Killion,http://www.repkillion.com/RSS.aspx?ID=90,NULL,TRUE,
PAL000145,Thaddeus Kirkland,http://www.pahouse.com/pr/xml/128.xml,NULL,TRUE,
PAL000146,Jerry Knowles,http://www.repknowles.com/RSS.aspx?ID=68,NULL,TRUE,
PAL000147,William C Kortz II,http://www.pahouse.com/pr/xml/370.xml,NULL,TRUE,
